title_year,country,Code,count_col,budget,gross
2012,Mexico,MEX,1,10800000,5669081
2012,Nigeria,NGA,1,7500000,0
2012,Russia,RUS,1,7000000,0
2012,South Africa,ZAF,1,20000000,0
2012,Spain,ESP,2,59000000,18996755
2012,United Kingdom,GBR,18,587000000,767582340
2012,United States of America,USA,173,7078432000,10307682184
2013,Australia,AUS,4,244000000,294377800
2013,Belgium,BEL,1,34000000,4091
2013,Brazil,BRA,1,3000000,0
2013,Canada,CAN,5,23800000,71588220
2013,China,CHN,3,0,50000
2013,Denmark,DNK,1,4800000,778565
2013,Egypt,EGY,1,1500000,0
2013,France,FRA,4,79500000,15293570
2013,Germany,DEU,2,50950000,55682070
2013,Hong Kong,HKG,1,38600000,6594136
2013,Iceland,ISL,1,10000000,11835
2013,India,IND,5,1550000,8154202
2013,Italy,ITA,3,23800000,2921319
2013,Japan,JPN,2,35500000,22770
2013,Mexico,MEX,6,26000000,44737578
2013,New Zealand,NZL,1,1000000,287761
2013,Poland,POL,1,0,3826455
2013,Russia,RUS,3,31000000,7268659
2013,South Africa,ZAF,1,20000000,0
2013,South Korea,#N/A,1,39200000,4563029
2013,Spain,ESP,1,22000000,0
2013,Thailand,THA,1,0,549632
2013,United Kingdom,GBR,16,307500000,402289022
2013,United States of America,USA,171,7633735400,9582612190
2013,United Arab Emirates,ARE,1,125000,0
2014,Australia,AUS,3,147500000,281005745
2014,Bahamas,BHS,1,5000000,0
2014,Brazil,BRA,1,4000000,20262
2014,Bulgaria,BGR,1,7000000,0
2014,Cambodia,KHM,1,0,0
2014,Canada,CAN,8,153150000,87458518
2014,China,CHN,3,65000000,506535
2014,Denmark,DNK,1,1000000,100240
2014,France,FRA,10,193700000,236423738
2014,Hong Kong,HKG,1,7000000,0
2014,India,IND,2,0,0
2014,Kenya,KEN,1,15000,0
2014,Kyrgyzstan,KGZ,1,1400000,0
2014,New Zealand,NZL,2,250350000,255108370
2014,Norway,NOR,2,6600000,0
2014,Romania,ROU,1,5000000,0
2014,Russia,RUS,1,26000000,0
2014,South Africa,ZAF,2,29000000,45089048
2014,South Korea,#N/A,1,10000000,0
2014,Spain,ESP,2,8000000,52961
2014,Switzerland,CHE,1,30000000,0
2014,Thailand,THA,1,9000000,162
2014,United Kingdom,GBR,17,601640000,523992853
2014,United States of America,USA,187,6525753000,8993068438
2015,Australia,AUS,2,160000000,153629485
2015,Belgium,BEL,2,0,0
2015,Brazil,BRA,1,4000000,375723
2015,Canada,CAN,5,42500000,52200504
2015,Chile,CHL,1,26000000,12188642
2015,China,CHN,3,227000000,195073287
2015,Czech Republic,CZE,1,50000000,1206135
2015,France,FRA,5,106700000,17367018
2015,Germany,DEU,1,2500000,0
2015,Hong Kong,HKG,1,36000000,2126511
2015,India,IND,2,168000000,6498000
2015,Ireland,IRL,1,13000000,14677654
2015,Israel,ISR,1,450000,34151
2015,Italy,ITA,1,15000000,0
2015,Japan,JPN,1,35000000,110008260
2015,Mexico,MEX,2,28000000,6420319
2015,New Zealand,NZL,1,0,0
2015,Pakistan,PAK,1,1000000,0
2015,Romania,ROU,1,168000,0
2015,Russia,RUS,1,30000000,0
2015,Slovenia,SVN,1,500000,0
2015,Spain,ESP,2,0,54734
2015,Taiwan,#N/A,1,15000000,613556
2015,United Kingdom,GBR,17,510000000,439029377
2015,United States of America,USA,171,6418915000,8502424850
2016,Canada,CAN,3,12200000,19221771
2016,China,CHN,1,68005000,0
2016,France,FRA,3,17000000,80175957
2016,Greece,GRC,1,18000000,3707794
2016,India,IND,1,4400000,0
2016,Japan,JPN,3,75000000,323505540
2016,Mexico,MEX,1,3000000,3105269
2016,Panama,PAN,1,20000000,0
2016,South Korea,#N/A,2,12600000,802291
2016,United Kingdom,GBR,13,843500000,1099051119
2016,United States of America,USA,77,4194050000,4162808915
